champion,position,win_rate,tier,core_items,hard_counters
Twisted Fate,MID,51.0,3,"Rod of Ages, Lich Bane, Rapid Firecannon, Boots of Swiftness, Doran's Ring","Swain, Brand, Jayce, Azir, Hwei"
Viktor,MID,51.0,3,"Blackfire Torch, Liandry's Torment, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Nasus, Zoe, Vel'Koz, Mel, Ryze"
Akali,MID,50.0,3,"Hextech Gunblade, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Pantheon, Nasus, Akshan, Zac, Riven"
Anivia,MID,51.0,3,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Liandry's Torment, Sorcerer's Shoes","Morgana, Aurelion Sol, Vel'Koz, Maokai, LeBlanc"
Zed,MID,50.0,3,"Eclipse, Voltaic Cyclosword, Serylda's Grudge, Ionian Boots of Lucidity, Long Sword","Nasus, Kayle, Malphite, Fizz, Evelynn"
Hwei,MID,51.0,3,"Blackfire Torch, Liandry's Torment, Shadowflame, Sorcerer's Shoes, Doran's Ring","Brand, Twisted Fate, Kayle, Swain, Kog'Maw"
Aurelion Sol,MID,52.0,3,"Blackfire Torch, Rylai's Crystal Scepter, Liandry's Torment, Sorcerer's Shoes, Doran's Ring","Fizz, LeBlanc, Naafiri, Zeri, Nilah"
Yasuo,MID,50.0,3,"Blade of The Ruined King, Immortal Shieldbow, Infinity Edge, Berserker's Greaves, Doran's Blade","Annie, Lissandra, Cho'Gath, Wukong, Zac"
Lux,MID,51.0,3,"Luden's Echo, Stormsurge, Shadowflame, Sorcerer's Shoes, Doran's Ring","Elise, LeBlanc, Renata Glasc, Pantheon, Sion"
Annie,MID,52.0,3,"Malignance, Stormsurge, Shadowflame, Sorcerer's Shoes, Doran's Ring","Pantheon, Naafiri, Cho'Gath, Yone, Yasuo"
Diana,MID,51.0,3,"Stormsurge, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Nasus, Cassiopeia, Sion, Volibear, Gwen"
Sylas,MID,50.0,3,"Hextech Rocketbelt, Riftmaker, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Sion, Pantheon, Naafiri, Taliyah, Teemo"
Zoe,MID,51.0,3,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Nasus, Ziggs, Malzahar, Poppy, Morgana"
Veigar,MID,52.0,3,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Rabadon's Deathcap, Sorcerer's Shoes","Cho'Gath, Nasus, Xerath, Katarina, Ziggs"
LeBlanc,MID,50.0,4,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Vex, Naafiri, Nasus, Elise, Swain"
Syndra,MID,50.0,4,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Morgana, Fizz, Vel'Koz, Mel, Yone"
Akshan,MID,51.0,4,"Statikk Shiv, The Collector, Infinity Edge, Mercury's Treads, Doran's Blade","Pantheon, Brand, Malphite, Akali, Zoe"
Naafiri,MID,51.0,2,"Voltaic Cyclosword, Opportunity, Edge of Night, Ionian Boots of Lucidity, Doran's Blade","Nocturne, Diana, Zyra, Kayle, Pantheon"
Vladimir,MID,50.0,4,"Hextech Rocketbelt, Riftmaker, Rabadon's Deathcap, Ionian Boots of Lucidity, Doran's Ring","Cho'Gath, Anivia, Vel'Koz, Udyr, Cassiopeia"
Ekko,MID,51.0,3,"Dusk and Dawn, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Taliyah, Nasus, Darius, Pantheon, Vladimir"
Aurora,MID,50.0,4,"Hextech Rocketbelt, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Taliyah, Vex, Nasus, Cassiopeia, Quinn"
Sion,MID,51.0,3,"Hollow Radiance, Unending Despair, Thornmail, Mercury's Treads, Doran's Shield","Singed, Swain, Darius, Cho'Gath, Twisted Fate"
Brand,MID,52.0,3,"Blackfire Torch, Rylai's Crystal Scepter, Liandry's Torment, Sorcerer's Shoes, Doran's Ring","Elise, Taric, Hwei, Aurora, Zed"
